year month   date        average   interpolated    trend    #days
2015   2    2015.125      400.28      400.28      399.46     27
2015   3    2015.208      401.54      401.54      399.97     24
2015   4    2015.292      403.28      403.28      400.45     27
2015   7    2015.542      401.31      401.31      400.90     23
2015   8    2015.625      398.93      398.93      400.77     28
2015   9    2015.708      397.63      397.63      401.13     25
2015  10    2015.792      398.29      398.29      401.64     28
2015  12    2015.958      401.85      401.85      402.61     30
2016   1    2016.042      402.52      402.52      402.29     27
2016   2    2016.125      404.04      404.04      403.21     26
2016   3    2016.208      404.83      404.83      403.26     29
2016   4    2016.292      407.42      407.42      404.59     25
2016   5    2016.375      407.70      407.70      404.37     29
2016   6    2016.458      406.81      406.81      404.52     26
2016   7    2016.542      404.39      404.39      403.98     28
